pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
SW120BL,SW12 0BL,SW12 0BL,198001,,0,529181,174285,1,E00015275,E13000001,E99999999,E09000022,E05000418,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000418,E99999999,E01003031,E02000640,E33035165,E38000092,E34004707,E35000161,A1,3D3,51.452819,-0.142235,E37000023,,E23000001,11631,E56000010,E54000030
SW120BN,SW12 0BN,SW12 0BN,198001,,0,529158,173950,1,E00015944,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,2D2,51.449814,-0.142688,E37000023,,E23000001,15308,E56000010,E54000030
SW120BP,SW12 0BP,SW12 0BP,198001,,0,528998,173625,1,E00015958,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003157,E02000640,E33035167,E38000092,E34004707,E35000161,A1,3D2,51.44693,-0.145082,E37000023,,E23000001,20129,E56000010,E54000030
SW120BQ,SW12 0BQ,SW12 0BQ,201411,,0,529281,173712,1,E00015960,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,3B1,51.447647,-0.141006,E37000023,,E23000001,15308,E56000010,E54000030
SW120BS,SW12 0BS,SW12 0BS,198001,,0,528953,173462,1,E00022497,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004473,E02000948,E33036595,E38000193,E34004707,E35000095,A1,2D2,51.445475,-0.145815,E37000023,,E23000001,22310,E57000003,E54000031
SW120BT,SW12 0BT,SW12 0BT,198001,,0,528953,173602,1,E00022498,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004473,E02000948,E33036595,E38000193,E34004707,E35000095,A1,2D2,51.446733,-0.145738,E37000023,,E23000001,22310,E57000003,E54000031
SW120BU,SW12 0BU,SW12 0BU,198001,,0,528966,173685,1,E00022498,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004473,E02000948,E33036595,E38000193,E34004707,E35000095,A1,2D2,51.447476,-0.145546,E37000023,,E23000001,22310,E57000003,E54000031
SW120BW,SW12 0BW,SW12 0BW,198001,,0,529064,173831,1,E00015954,E13000001,E99999999,E09000022,E05000433,E18000007,E40000003,E92000001,E12000007,E14000978,E15000007,E24000014,E30000234,E16000058,E05000433,E99999999,E01003161,E02000640,E33035163,E38000092,E34004707,E35000161,A1,2D2,51.448766,-0.144084,E37000023,,E23000001,15308,E56000010,E54000030
SW120BX,SW12 0BX,SW12 0BX,198001,,0,528979,173727,1,E00022498,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004473,E02000948,E33036595,E38000193,E34004707,E35000095,A1,2D2,51.44785,-0.145344,E37000023,,E23000001,22310,E57000003,E54000031
SW120BY,SW12 0BY,SW12 0BY,198001,,0,528992,173793,1,E00022490,E13000001,E99999999,E09000032,E05000610,E18000007,E40000003,E92000001,E12000007,E14000549,E15000007,E24000014,E30000234,E16000061,E05000610,E99999999,E01004473,E02000948,E33036598,E38000193,E34004707,E35000095,A1,2D2,51.448441,-0.145133,E37000023,,E23000001,22310,E57000003,E54000031
