LSOA11NM,LAD19NM,Decile
Barnet 017A,Barnet,5
Barnet 017B,Barnet,4
Barnet 017C,Barnet,9
Barnet 017D,Barnet,7
Barnet 018A,Barnet,6
Barnet 018B,Barnet,6
Barnet 018C,Barnet,5
Barnet 018D,Barnet,3
Barnet 018E,Barnet,8
Barnet 019A,Barnet,6
Barnet 019B,Barnet,7
Barnet 019C,Barnet,6
Barnet 019D,Barnet,8
Barnet 019E,Barnet,6
Barnet 019F,Barnet,5
Barnet 020A,Barnet,10
Barnet 020B,Barnet,10
Barnet 020C,Barnet,9
Barnet 020D,Barnet,9
Barnet 020E,Barnet,7
Barnet 021A,Barnet,3
Barnet 021B,Barnet,4
Barnet 021C,Barnet,3
Barnet 021D,Barnet,8
Barnet 021E,Barnet,4
Barnet 022A,Barnet,9
Barnet 022B,Barnet,7
Barnet 022C,Barnet,3
Barnet 022D,Barnet,4
Barnet 022E,Barnet,7
Barnet 022F,Barnet,3
Barnet 023A,Barnet,7
Barnet 023B,Barnet,7
Barnet 023C,Barnet,7
Barnet 023D,Barnet,7
Barnet 024A,Barnet,3
Barnet 024B,Barnet,3
Barnet 024C,Barnet,3
Barnet 024D,Barnet,3
Barnet 024E,Barnet,5
Barnet 024F,Barnet,4
Barnet 025A,Barnet,7
Barnet 025B,Barnet,9
Barnet 025C,Barnet,8
Barnet 025D,Barnet,7
Barnet 025E,Barnet,5
Barnet 026A,Barnet,2
Barnet 026B,Barnet,2
Barnet 026C,Barnet,3
Barnet 026D,Barnet,2
Barnet 026E,Barnet,3
Barnet 027A,Barnet,3
Barnet 027B,Barnet,9
Barnet 027C,Barnet,3
Barnet 027D,Barnet,8
Barnet 027E,Barnet,5
Barnet 027F,Barnet,8
Barnet 028A,Barnet,7
Barnet 028B,Barnet,8
Barnet 028C,Barnet,9
Barnet 028D,Barnet,9
Barnet 028E,Barnet,6
Barnet 029A,Barnet,9
Barnet 029B,Barnet,9
Barnet 029C,Barnet,6
Barnet 029D,Barnet,9
Barnet 029E,Barnet,9
Barnet 029F,Barnet,4
Barnet 030A,Barnet,7
Barnet 030B,Barnet,3
Barnet 030D,Barnet,5
Barnet 030E,Barnet,4
Barnet 030F,Barnet,5
Barnet 031A,Barnet,4
Barnet 031B,Barnet,5
Barnet 031C,Barnet,8
Barnet 031D,Barnet,7
Barnet 032A,Barnet,8
Barnet 032B,Barnet,5
Barnet 032C,Barnet,7
Barnet 032D,Barnet,6
Barnet 032E,Barnet,4
Barnet 032F,Barnet,8
Barnet 033A,Barnet,8
Barnet 033B,Barnet,8
Barnet 033C,Barnet,9
Barnet 033D,Barnet,9
Barnet 033E,Barnet,9
Barnet 033F,Barnet,9
Barnet 034A,Barnet,8
Barnet 034B,Barnet,6
Barnet 034C,Barnet,5
Barnet 034D,Barnet,8
Barnet 035A,Barnet,9
Barnet 035B,Barnet,9
Barnet 035C,Barnet,6
Barnet 035D,Barnet,8
Barnet 035E,Barnet,8
Barnet 035F,Barnet,8
Barnet 036A,Barnet,6
Barnet 036B,Barnet,3
Barnet 036C,Barnet,7
Barnet 036D,Barnet,3
Barnet 036E,Barnet,4
Barnet 036F,Barnet,5
Barnet 037A,Barnet,6
Barnet 037B,Barnet,7
Barnet 037C,Barnet,6
Barnet 037D,Barnet,5
Barnet 037E,Barnet,6
Barnet 037F,Barnet,8
Barnet 038A,Barnet,7
Barnet 038B,Barnet,8
Barnet 038C,Barnet,5
Barnet 038D,Barnet,5
Barnet 038E,Barnet,8
Barnet 039A,Barnet,3
Barnet 039B,Barnet,1
Barnet 039C,Barnet,2
Barnet 039D,Barnet,4
Barnet 040A,Barnet,3
Barnet 040B,Barnet,6
Barnet 040C,Barnet,3
Barnet 040D,Barnet,5
Barnet 041A,Barnet,3
Barnet 041B,Barnet,7
Barnet 041C,Barnet,6
Barnet 041D,Barnet,3
Bexley 001A,Bexley,4
Bexley 001B,Bexley,5
Bexley 001C,Bexley,5
Bexley 001D,Bexley,5
Bexley 002A,Bexley,4
Bexley 002B,Bexley,5
Bexley 002C,Bexley,2
Bexley 002D,Bexley,4
Bexley 002E,Bexley,3
Bexley 002F,Bexley,2
Bexley 003A,Bexley,4
Bexley 003B,Bexley,3
Bexley 003C,Bexley,3
Bexley 003D,Bexley,5
Bexley 003E,Bexley,5
Bexley 004A,Bexley,3
Bexley 004B,Bexley,3
Bexley 004C,Bexley,3
Bexley 004D,Bexley,4
Bexley 005A,Bexley,6
Bexley 005B,Bexley,4
Bexley 005C,Bexley,4
Bexley 005D,Bexley,6
Bexley 006A,Bexley,7
Bexley 006B,Bexley,5
Bexley 006C,Bexley,8
Bexley 006D,Bexley,8
Bexley 006E,Bexley,7
Bexley 007A,Bexley,7
Bexley 007B,Bexley,7
Bexley 007C,Bexley,4
Bexley 007D,Bexley,9
Bexley 007E,Bexley,3
Bexley 008A,Bexley,3
Bexley 008B,Bexley,2
Bexley 008C,Bexley,6
Bexley 008D,Bexley,2
Bexley 008E,Bexley,4
Bexley 008F,Bexley,2
Bexley 008G,Bexley,2
Bexley 009A,Bexley,9
