State Code,State,disease,Calendar Year,# Incidents Per 100000 Per Location,Vaccine has been introduced Flag
OR,OREGON,SMALLPOX,1934,15,1
SC,SOUTH CAROLINA,SMALLPOX,1934,1,1
SD,SOUTH DAKOTA,SMALLPOX,1934,20,1
TN,TENNESSEE,SMALLPOX,1934,1,1
TX,TEXAS,SMALLPOX,1934,15,1
UT,UTAH,SMALLPOX,1934,7,1
VA,VIRGINIA,SMALLPOX,1934,1,1
WA,WASHINGTON,SMALLPOX,1934,34,1
WI,WISCONSIN,SMALLPOX,1934,33,1
WV,WEST VIRGINIA,SMALLPOX,1934,1,1
WY,WYOMING,SMALLPOX,1934,46,1
DE,DELAWARE,SMALLPOX,1934,0,1
CT,CONNECTICUT,SMALLPOX,1934,0,1
NJ,NEW JERSEY,SMALLPOX,1935,0,1
DE,DELAWARE,SMALLPOX,1935,0,1
MD,MARYLAND,SMALLPOX,1935,0,1
VT,VERMONT,SMALLPOX,1935,0,1
CT,CONNECTICUT,SMALLPOX,1935,0,1
MA,MASSACHUSETTS,SMALLPOX,1935,0,1
ME,MAINE,SMALLPOX,1935,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1935,0,1
PA,PENNSYLVANIA,SMALLPOX,1935,0,1
RI,RHODE ISLAND,SMALLPOX,1935,0,1
AZ,ARIZONA,SMALLPOX,1935,0,1
NY,NEW YORK,SMALLPOX,1935,0,1
AL,ALABAMA,SMALLPOX,1935,2,1
AR,ARKANSAS,SMALLPOX,1935,3,1
CA,CALIFORNIA,SMALLPOX,1935,5,1
CO,COLORADO,SMALLPOX,1935,16,1
FL,FLORIDA,SMALLPOX,1935,1,1
GA,GEORGIA,SMALLPOX,1935,1,1
IA,IOWA,SMALLPOX,1935,8,1
ID,IDAHO,SMALLPOX,1935,3,1
IL,ILLINOIS,SMALLPOX,1935,1,1
IN,INDIANA,SMALLPOX,1935,2,1
KS,KANSAS,SMALLPOX,1935,30,1
KY,KENTUCKY,SMALLPOX,1935,0,1
LA,LOUISIANA,SMALLPOX,1935,1,1
MI,MICHIGAN,SMALLPOX,1935,0,1
MN,MINNESOTA,SMALLPOX,1935,8,1
MO,MISSOURI,SMALLPOX,1935,2,1
MS,MISSISSIPPI,SMALLPOX,1935,1,1
MT,MONTANA,SMALLPOX,1935,125,1
NC,NORTH CAROLINA,SMALLPOX,1935,1,1
ND,NORTH DAKOTA,SMALLPOX,1935,8,1
NE,NEBRASKA,SMALLPOX,1935,94,1
NM,NEW MEXICO,SMALLPOX,1935,10,1
OH,OHIO,SMALLPOX,1935,0,1
OK,OKLAHOMA,SMALLPOX,1935,2,1
OR,OREGON,SMALLPOX,1935,12,1
SC,SOUTH CAROLINA,SMALLPOX,1935,0,1
SD,SOUTH DAKOTA,SMALLPOX,1935,44,1
TN,TENNESSEE,SMALLPOX,1935,1,1
TX,TEXAS,SMALLPOX,1935,9,1
UT,UTAH,SMALLPOX,1935,2,1
VA,VIRGINIA,SMALLPOX,1935,0,1
WA,WASHINGTON,SMALLPOX,1935,84,1
WI,WISCONSIN,SMALLPOX,1935,21,1
WV,WEST VIRGINIA,SMALLPOX,1935,1,1
WY,WYOMING,SMALLPOX,1935,133,1
MD,MARYLAND,SMALLPOX,1936,0,1
VT,VERMONT,SMALLPOX,1936,0,1
CT,CONNECTICUT,SMALLPOX,1936,0,1
DE,DELAWARE,SMALLPOX,1936,0,1
FL,FLORIDA,SMALLPOX,1936,0,1
MA,MASSACHUSETTS,SMALLPOX,1936,0,1
ME,MAINE,SMALLPOX,1936,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1936,0,1
NJ,NEW JERSEY,SMALLPOX,1936,0,1
PA,PENNSYLVANIA,SMALLPOX,1936,0,1
RI,RHODE ISLAND,SMALLPOX,1936,0,1
AL,ALABAMA,SMALLPOX,1936,0,1
NE,NEBRASKA,SMALLPOX,1936,56,1
NM,NEW MEXICO,SMALLPOX,1936,1,1
NY,NEW YORK,SMALLPOX,1936,0,1
OH,OHIO,SMALLPOX,1936,1,1
OK,OKLAHOMA,SMALLPOX,1936,2,1
OR,OREGON,SMALLPOX,1936,33,1
SC,SOUTH CAROLINA,SMALLPOX,1936,1,1
SD,SOUTH DAKOTA,SMALLPOX,1936,91,1
TN,TENNESSEE,SMALLPOX,1936,0,1
TX,TEXAS,SMALLPOX,1936,1,1
UT,UTAH,SMALLPOX,1936,16,1
VA,VIRGINIA,SMALLPOX,1936,0,1
WA,WASHINGTON,SMALLPOX,1936,23,1
WI,WISCONSIN,SMALLPOX,1936,13,1
WV,WEST VIRGINIA,SMALLPOX,1936,0,1
WY,WYOMING,SMALLPOX,1936,81,1
ND,NORTH DAKOTA,SMALLPOX,1936,47,1
AR,ARKANSAS,SMALLPOX,1936,1,1
CA,CALIFORNIA,SMALLPOX,1936,2,1
CO,COLORADO,SMALLPOX,1936,18,1
GA,GEORGIA,SMALLPOX,1936,1,1
IA,IOWA,SMALLPOX,1936,29,1
ID,IDAHO,SMALLPOX,1936,20,1
IL,ILLINOIS,SMALLPOX,1936,5,1
IN,INDIANA,SMALLPOX,1936,3,1
KS,KANSAS,SMALLPOX,1936,41,1
AZ,ARIZONA,SMALLPOX,1936,1,1
KY,KENTUCKY,SMALLPOX,1936,1,1
LA,LOUISIANA,SMALLPOX,1936,1,1
MI,MICHIGAN,SMALLPOX,1936,1,1
MN,MINNESOTA,SMALLPOX,1936,11,1
MO,MISSOURI,SMALLPOX,1936,9,1
MS,MISSISSIPPI,SMALLPOX,1936,0,1
MT,MONTANA,SMALLPOX,1936,134,1
NC,NORTH CAROLINA,SMALLPOX,1936,1,1
ME,MAINE,SMALLPOX,1937,0,1
VT,VERMONT,SMALLPOX,1937,0,1
CT,CONNECTICUT,SMALLPOX,1937,0,1
DE,DELAWARE,SMALLPOX,1937,0,1
MA,MASSACHUSETTS,SMALLPOX,1937,0,1
MD,MARYLAND,SMALLPOX,1937,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1937,0,1
NJ,NEW JERSEY,SMALLPOX,1937,0,1
PA,PENNSYLVANIA,SMALLPOX,1937,0,1
RI,RHODE ISLAND,SMALLPOX,1937,0,1
SC,SOUTH CAROLINA,SMALLPOX,1937,0,1
AL,ALABAMA,SMALLPOX,1937,2,1
AR,ARKANSAS,SMALLPOX,1937,5,1
AZ,ARIZONA,SMALLPOX,1937,1,1
CA,CALIFORNIA,SMALLPOX,1937,8,1
CO,COLORADO,SMALLPOX,1937,19,1
FL,FLORIDA,SMALLPOX,1937,0,1
GA,GEORGIA,SMALLPOX,1937,0,1
IA,IOWA,SMALLPOX,1937,52,1
ID,IDAHO,SMALLPOX,1937,70,1
IL,ILLINOIS,SMALLPOX,1937,12,1
IN,INDIANA,SMALLPOX,1937,20,1
KS,KANSAS,SMALLPOX,1937,32,1
KY,KENTUCKY,SMALLPOX,1937,3,1
LA,LOUISIANA,SMALLPOX,1937,1,1
MI,MICHIGAN,SMALLPOX,1937,3,1
MN,MINNESOTA,SMALLPOX,1937,19,1
MO,MISSOURI,SMALLPOX,1937,40,1
MS,MISSISSIPPI,SMALLPOX,1937,2,1
MT,MONTANA,SMALLPOX,1937,159,1
NC,NORTH CAROLINA,SMALLPOX,1937,0,1
ND,NORTH DAKOTA,SMALLPOX,1937,115,1
NE,NEBRASKA,SMALLPOX,1937,13,1
NM,NEW MEXICO,SMALLPOX,1937,3,1
NY,NEW YORK,SMALLPOX,1937,0,1
OH,OHIO,SMALLPOX,1937,2,1
OK,OKLAHOMA,SMALLPOX,1937,5,1
OR,OREGON,SMALLPOX,1937,58,1
SD,SOUTH DAKOTA,SMALLPOX,1937,22,1
TN,TENNESSEE,SMALLPOX,1937,2,1
TX,TEXAS,SMALLPOX,1937,3,1
UT,UTAH,SMALLPOX,1937,3,1
VA,VIRGINIA,SMALLPOX,1937,0,1
WA,WASHINGTON,SMALLPOX,1937,29,1
WI,WISCONSIN,SMALLPOX,1937,7,1
WV,WEST VIRGINIA,SMALLPOX,1937,1,1
WY,WYOMING,SMALLPOX,1937,64,1
CT,CONNECTICUT,SMALLPOX,1938,0,1
DE,DELAWARE,SMALLPOX,1938,0,1
MA,MASSACHUSETTS,SMALLPOX,1938,0,1
MD,MARYLAND,SMALLPOX,1938,0,1
ME,MAINE,SMALLPOX,1938,0,1
NH,NEW HAMPSHIRE,SMALLPOX,1938,0,1
NJ,NEW JERSEY,SMALLPOX,1938,0,1
PA,PENNSYLVANIA,SMALLPOX,1938,0,1
RI,RHODE ISLAND,SMALLPOX,1938,0,1
SC,SOUTH CAROLINA,SMALLPOX,1938,0,1
VT,VERMONT,SMALLPOX,1938,0,1
AL,ALABAMA,SMALLPOX,1938,3,1
AR,ARKANSAS,SMALLPOX,1938,12,1
AZ,ARIZONA,SMALLPOX,1938,35,1
CA,CALIFORNIA,SMALLPOX,1938,17,1
CO,COLORADO,SMALLPOX,1938,24,1
FL,FLORIDA,SMALLPOX,1938,1,1
GA,GEORGIA,SMALLPOX,1938,1,1
IA,IOWA,SMALLPOX,1938,51,1
ID,IDAHO,SMALLPOX,1938,108,1
IL,ILLINOIS,SMALLPOX,1938,12,1
IN,INDIANA,SMALLPOX,1938,43,1
KS,KANSAS,SMALLPOX,1938,28,1
KY,KENTUCKY,SMALLPOX,1938,17,1
LA,LOUISIANA,SMALLPOX,1938,1,1
MI,MICHIGAN,SMALLPOX,1938,5,1
MN,MINNESOTA,SMALLPOX,1938,27,1
MO,MISSOURI,SMALLPOX,1938,29,1
MS,MISSISSIPPI,SMALLPOX,1938,5,1
MT,MONTANA,SMALLPOX,1938,81,1
NC,NORTH CAROLINA,SMALLPOX,1938,1,1
ND,NORTH DAKOTA,SMALLPOX,1938,77,1
NE,NEBRASKA,SMALLPOX,1938,15,1
NM,NEW MEXICO,SMALLPOX,1938,10,1
NY,NEW YORK,SMALLPOX,1938,0,1
OH,OHIO,SMALLPOX,1938,5,1
OK,OKLAHOMA,SMALLPOX,1938,23,1
OR,OREGON,SMALLPOX,1938,60,1
SD,SOUTH DAKOTA,SMALLPOX,1938,48,1
TN,TENNESSEE,SMALLPOX,1938,5,1
TX,TEXAS,SMALLPOX,1938,9,1
UT,UTAH,SMALLPOX,1938,6,1
VA,VIRGINIA,SMALLPOX,1938,0,1
WA,WASHINGTON,SMALLPOX,1938,58,1
WI,WISCONSIN,SMALLPOX,1938,7,1
WV,WEST VIRGINIA,SMALLPOX,1938,1,1
WY,WYOMING,SMALLPOX,1938,36,1
PA,PENNSYLVANIA,SMALLPOX,1939,0,1
DE,DELAWARE,SMALLPOX,1939,0,1
MA,MASSACHUSETTS,SMALLPOX,1939,0,1
MD,MARYLAND,SMALLPOX,1939,0,1
ME,MAINE,SMALLPOX,1939,0,1
